Date,Country,Infections,Recovered,Deaths,Tests
5-Apr,Iran,58226,19736,3603,189790
6-Apr,Iran,60500,24236,3739,189790
7-Apr,Iran,62589,27039,3872,189790
8-Apr,Iran,64586,29812,3993,220975
9-Apr,Iran,66220,32309,4110,231393
10-Apr,Iran,68192,35465,4232,242568
11-Apr,Iran,70029,41947,4357,251703
12-Apr,Iran,71686,43894,4474,263388
13-Apr,Iran,73303,45983,4585,263388
22-Jan,South Korea,1,0,0,16
23-Jan,South Korea,1,0,0,16
24-Jan,South Korea,2,0,0,25
25-Jan,South Korea,2,0,0,25
26-Jan,South Korea,3,0,0,48
27-Jan,South Korea,4,0,0,57
28-Jan,South Korea,4,0,0,187
29-Jan,South Korea,4,0,0,187
30-Jan,South Korea,4,0,0,244
31-Jan,South Korea,11,0,0,244
1-Feb,South Korea,12,0,0,371
2-Feb,South Korea,15,0,0,429
3-Feb,South Korea,15,0,0,429
4-Feb,South Korea,16,0,0,607
5-Feb,South Korea,19,0,0,714
6-Feb,South Korea,23,0,0,885
7-Feb,South Korea,24,1,0,1130
8-Feb,South Korea,24,1,0,1701
9-Feb,South Korea,25,3,0,2340
10-Feb,South Korea,27,3,0,2776
11-Feb,South Korea,28,3,0,3629
12-Feb,South Korea,28,7,0,5074
13-Feb,South Korea,28,7,0,5797
14-Feb,South Korea,28,7,0,6854
15-Feb,South Korea,28,9,0,7519
16-Feb,South Korea,29,9,0,7919
17-Feb,South Korea,30,10,0,8171
18-Feb,South Korea,31,12,0,9265
19-Feb,South Korea,31,12,0,10411
20-Feb,South Korea,104,16,1,12161
21-Feb,South Korea,204,16,2,14816
22-Feb,South Korea,433,16,2,19621
23-Feb,South Korea,602,18,6,22633
24-Feb,South Korea,833,18,8,28615
25-Feb,South Korea,977,22,10,36716
26-Feb,South Korea,1261,22,12,46127
27-Feb,South Korea,1766,22,13,57990
28-Feb,South Korea,2337,22,13,70940
29-Feb,South Korea,3150,27,16,85693
1-Mar,South Korea,3736,30,17,96985
2-Mar,South Korea,4335,30,28,109591
3-Mar,South Korea,5186,30,28,125851
4-Mar,South Korea,5621,41,35,136707
5-Mar,South Korea,6088,41,35,146541
6-Mar,South Korea,6593,135,42,164740
7-Mar,South Korea,7041,135,44,178189
8-Mar,South Korea,7314,118,50,188518
9-Mar,South Korea,7478,118,53,196618
10-Mar,South Korea,7513,247,54,210144
11-Mar,South Korea,7755,288,60,222395
12-Mar,South Korea,7869,333,66,234998
13-Mar,South Korea,7979,510,66,248647
14-Mar,South Korea,8086,510,72,261335
15-Mar,South Korea,8162,510,75,268212
16-Mar,South Korea,8236,1137,75,274504
17-Mar,South Korea,8320,1407,81,286716
18-Mar,South Korea,8413,1540,84,295647
19-Mar,South Korea,8565,1540,91,307024
20-Mar,South Korea,8652,1540,94,316664
21-Mar,South Korea,8799,1540,102,327509
22-Mar,South Korea,8961,2909,111,331780
23-Mar,South Korea,8961,2909,111,338036
24-Mar,South Korea,9037,3507,120,348582
25-Mar,South Korea,9137,3730,126,357896
