Date,Country,Infections,Recovered,Deaths
20-Mar,Spain,20410,1588,1043
21-Mar,Spain,25374,2125,1375
22-Mar,Spain,28768,2575,1772
23-Mar,Spain,35136,2575,2311
24-Mar,Spain,39885,3794,2808
25-Mar,Spain,49515,5367,3647
22-Jan,Germany,0,0,0
23-Jan,Germany,0,0,0
24-Jan,Germany,0,0,0
25-Jan,Germany,0,0,0
26-Jan,Germany,0,0,0
27-Jan,Germany,1,0,0
28-Jan,Germany,4,0,0
29-Jan,Germany,4,0,0
30-Jan,Germany,4,0,0
31-Jan,Germany,5,0,0
1-Feb,Germany,8,0,0
2-Feb,Germany,10,0,0
3-Feb,Germany,12,0,0
4-Feb,Germany,12,0,0
5-Feb,Germany,12,0,0
6-Feb,Germany,12,0,0
7-Feb,Germany,13,0,0
8-Feb,Germany,13,0,0
9-Feb,Germany,14,0,0
10-Feb,Germany,14,0,0
11-Feb,Germany,16,0,0
12-Feb,Germany,16,0,0
13-Feb,Germany,16,1,0
14-Feb,Germany,16,1,0
15-Feb,Germany,16,1,0
16-Feb,Germany,16,1,0
17-Feb,Germany,16,1,0
18-Feb,Germany,16,12,0
19-Feb,Germany,16,12,0
20-Feb,Germany,16,12,0
21-Feb,Germany,16,14,0
22-Feb,Germany,16,14,0
23-Feb,Germany,16,14,0
24-Feb,Germany,16,14,0
25-Feb,Germany,17,14,0
26-Feb,Germany,27,15,0
27-Feb,Germany,46,16,0
28-Feb,Germany,48,16,0
29-Feb,Germany,79,16,0
1-Mar,Germany,130,16,0
2-Mar,Germany,159,16,0
3-Mar,Germany,196,16,0
4-Mar,Germany,262,16,0
5-Mar,Germany,482,16,0
6-Mar,Germany,670,17,0
7-Mar,Germany,799,18,0
8-Mar,Germany,1040,18,0
9-Mar,Germany,1176,18,2
10-Mar,Germany,1457,18,2
11-Mar,Germany,1908,25,3
12-Mar,Germany,2078,25,3
13-Mar,Germany,3675,46,7
14-Mar,Germany,4585,46,9
15-Mar,Germany,5795,46,11
16-Mar,Germany,7272,67,17
17-Mar,Germany,9257,67,24
18-Mar,Germany,12327,105,28
19-Mar,Germany,15320,113,44
20-Mar,Germany,19848,180,67
21-Mar,Germany,22213,233,84
22-Mar,Germany,24873,266,94
23-Mar,Germany,29056,266,123
24-Mar,Germany,32986,3243,157
25-Mar,Germany,37323,3547,206
22-Jan,United States,1,0,0
23-Jan,United States,1,0,0
24-Jan,United States,2,0,0
25-Jan,United States,2,0,0
26-Jan,United States,5,0,0
27-Jan,United States,5,0,0
28-Jan,United States,5,0,0
29-Jan,United States,5,0,0
30-Jan,United States,5,0,0
31-Jan,United States,7,0,0
1-Feb,United States,8,0,0
2-Feb,United States,8,0,0
3-Feb,United States,11,0,0
4-Feb,United States,11,0,0
5-Feb,United States,11,0,0
6-Feb,United States,11,0,0
7-Feb,United States,11,0,0
8-Feb,United States,11,0,0
9-Feb,United States,11,3,0
10-Feb,United States,11,3,0
11-Feb,United States,12,3,0
12-Feb,United States,12,3,0
13-Feb,United States,13,3,0
14-Feb,United States,13,3,0
15-Feb,United States,13,3,0
16-Feb,United States,13,3,0
17-Feb,United States,13,3,0
18-Feb,United States,13,3,0
19-Feb,United States,13,3,0
20-Feb,United States,13,3,0
21-Feb,United States,15,5,0
22-Feb,United States,15,5,0
23-Feb,United States,15,5,0
24-Feb,United States,51,5,0
25-Feb,United States,51,6,0
26-Feb,United States,57,6,0
27-Feb,United States,58,6,0
28-Feb,United States,60,7,0
29-Feb,United States,68,7,1
1-Mar,United States,74,7,1
2-Mar,United States,98,7,6
3-Mar,United States,118,7,7
4-Mar,United States,149,7,11
5-Mar,United States,217,7,12
6-Mar,United States,262,7,14
7-Mar,United States,402,7,17
8-Mar,United States,518,7,21
9-Mar,United States,583,7,22
10-Mar,United States,959,8,28
11-Mar,United States,1281,8,36
12-Mar,United States,1663,12,40
13-Mar,United States,2179,12,47
14-Mar,United States,2727,12,54
15-Mar,United States,3499,12,63
16-Mar,United States,4632,17,85
17-Mar,United States,6421,17,108
18-Mar,United States,7783,105,118
19-Mar,United States,13677,121,200
20-Mar,United States,19100,147,244
21-Mar,United States,25489,176,307
22-Mar,United States,33276,178,417
23-Mar,United States,43847,178,557
24-Mar,United States,53740,348,706
25-Mar,United States,65778,361,942
22-Jan,Switzerland,0,0,0
23-Jan,Switzerland,0,0,0
24-Jan,Switzerland,0,0,0
25-Jan,Switzerland,0,0,0
26-Jan,Switzerland,0,0,0
27-Jan,Switzerland,0,0,0
28-Jan,Switzerland,0,0,0
29-Jan,Switzerland,0,0,0
30-Jan,Switzerland,0,0,0
31-Jan,Switzerland,0,0,0
1-Feb,Switzerland,0,0,0
2-Feb,Switzerland,0,0,0
3-Feb,Switzerland,0,0,0
4-Feb,Switzerland,0,0,0
5-Feb,Switzerland,0,0,0
6-Feb,Switzerland,0,0,0
7-Feb,Switzerland,0,0,0
8-Feb,Switzerland,0,0,0
9-Feb,Switzerland,0,0,0
10-Feb,Switzerland,0,0,0
11-Feb,Switzerland,0,0,0
12-Feb,Switzerland,0,0,0
13-Feb,Switzerland,0,0,0
14-Feb,Switzerland,0,0,0
15-Feb,Switzerland,0,0,0
16-Feb,Switzerland,0,0,0
17-Feb,Switzerland,0,0,0
18-Feb,Switzerland,0,0,0
19-Feb,Switzerland,0,0,0
20-Feb,Switzerland,0,0,0
21-Feb,Switzerland,0,0,0
22-Feb,Switzerland,0,0,0
23-Feb,Switzerland,0,0,0
24-Feb,Switzerland,0,0,0
25-Feb,Switzerland,1,0,0
26-Feb,Switzerland,1,0,0
27-Feb,Switzerland,8,0,0
28-Feb,Switzerland,8,0,0
29-Feb,Switzerland,18,0,0
1-Mar,Switzerland,27,0,0
2-Mar,Switzerland,42,0,0
3-Mar,Switzerland,56,2,0
4-Mar,Switzerland,90,3,0
5-Mar,Switzerland,114,3,1
6-Mar,Switzerland,214,3,1
7-Mar,Switzerland,268,3,1
8-Mar,Switzerland,337,3,2
9-Mar,Switzerland,374,3,2
10-Mar,Switzerland,491,3,3
11-Mar,Switzerland,652,4,4
12-Mar,Switzerland,652,4,4
13-Mar,Switzerland,1139,4,11
14-Mar,Switzerland,1359,4,13
15-Mar,Switzerland,2200,4,14
16-Mar,Switzerland,2200,4,14
17-Mar,Switzerland,2700,4,27
18-Mar,Switzerland,3028,15,28
19-Mar,Switzerland,4075,15,41
20-Mar,Switzerland,5294,15,54
21-Mar,Switzerland,6575,15,75
22-Mar,Switzerland,7474,131,98
23-Mar,Switzerland,8795,131,120
24-Mar,Switzerland,9877,131,122
25-Mar,Switzerland,10897,131,153
22-Jan,United Kingdom,0,0,0
23-Jan,United Kingdom,0,0,0
24-Jan,United Kingdom,0,0,0
25-Jan,United Kingdom,0,0,0
26-Jan,United Kingdom,0,0,0
27-Jan,United Kingdom,0,0,0
28-Jan,United Kingdom,0,0,0
